Book,Chapter,Verse,Text
Genesis,1,1,В начале сотвори Бог небо и землю.
Genesis,1,2,"Земля же бе невидима и неустроена, и тма верху бездны, и Дух Божий ношашеся верху воды."
Genesis,1,3,И рече Бог: да будет свет. И бысть свет.
Genesis,1,4,"И виде Бог свет, яко добро, и разлучи Бог между светом и между тмою."
Genesis,1,5,"И нарече Бог свет день, а тму нарече нощь. И бысть вечер, и бысть утро, день един."
Genesis,1,6,"И рече Бог: да будет твердь посреде воды, и да будет разлучающи посреде воды и воды. И бысть тако."
Genesis,1,7,"И сотвори Бог твердь, и разлучи Бог между водою, яже бе под твердию, и между водою, яже бе над твердию."
Genesis,1,8,"И нарече Бог твердь небо. И виде Бог, яко добро. И бысть вечер, и бысть утро, день вторый."
Genesis,1,9,"И рече Бог: да соберется вода, яже под небесем, в собрание едино, и да явится суша. И бысть тако. И собрася вода, яже под небесем, в собрания своя, и явися суша."
Genesis,1,10,"И нарече Бог сушу землю, и собрания вод нарече моря. И виде Бог, яко добро."
Genesis,1,11,"И рече Бог: да прорастит земля былие травное, сеющее семя по роду и по подобию, и древо плодовитое творящее плод, емуже семя его в нем, по роду на земли. И бысть тако."
Genesis,1,12,"И изнесе земля былие травное, сеющее семя по роду и по подобию, и древо плодовитое творящее плод, емуже семя его в нем, по роду на земли. И виде Бог, яко добро."
Genesis,1,13,"И бысть вечер, и бысть утро, день третий."
Genesis,1,14,"И рече Бог: да будут светила на тверди небесней, освещати землю и разлучати между днем и между нощию: и да будут в знамения и во времена, и во дни и в лета,"
Genesis,1,15,"и да будут в просвещение на тверди небесней, яко светити по земли. И бысть тако."
Genesis,1,16,"И сотвори Бог два светила великая: светило великое в начала дне, и светило меншее в начала нощи, и звезды:"
Genesis,1,17,"и положи я Бог на тверди небесней, яко светити на землю,"
Genesis,1,18,"и владети днем и нощию, и разлучати между светом и между тмою. И виде Бог, яко добро."
Genesis,1,19,"И бысть вечер, и бысть утро, день четвертый."
Genesis,1,20,"И рече Бог: да изведут воды гады душ живых, и птицы летающыя по земли, по тверди небесней. И бысть тако."
Genesis,1,21,"И сотвори Бог киты великия, и всяку душу животных гадов, яже изведоша воды по родом их, и всяку птицу пернату по роду. И виде Бог, яко добра."
Genesis,1,22,"И благослови я Бог, глаголя: раститеся и множитеся, и наполните воды, яже в морях, и птицы да умножатся на земли."
Genesis,1,23,"И бысть вечер, и бысть утро, день пятый."
Genesis,1,24,"И рече Бог: да изведет земля душу живу по роду, четвероногая и гады, и звери земли по роду. И бысть тако."
Genesis,1,25,"И сотвори Бог звери земли по роду, и скоты по роду их, и вся гады земли по роду их. И виде Бог, яко добра."
Genesis,1,26,"И рече Бог: сотворим человека по образу Нашему и по подобию, и да обладает рыбами морскими, и птицами небесными, (и зверми) и скотами, и всею землею, и всеми гады пресмыкающимися по земли."
Genesis,1,27,"И сотвори Бог человека, по образу Божию сотвори его: мужа и жену сотвори их."
Genesis,1,28,"И благослови их Бог, глаголя: раститеся и множитеся, и наполните землю, и господствуйте ею, и обладайте рыбами морскими, (и зверми) и птицами небесными, и всеми скотами, и всею землею, и всеми гадами пресмыкающимися по земли."
Genesis,1,29,"И рече Бог: се, дах вам всякую траву семенную сеющую семя, еже есть верху земли всея: и всякое древо, еже имать в себе плод семене семеннаго, вам будет в снедь:"
Genesis,1,30,"и всем зверем земным, и всем птицам небесным, и всякому гаду пресмыкающемуся по земли, иже имать в себе душу живота, и всяку траву зелену в снедь. И бысть тако."
Genesis,1,31,"И виде Бог вся, елика сотвори: и се добра зело. И бысть вечер, и бысть утро, день шестый."
Genesis,2,1,"И совершишася небо и земля, и все украшение их."
Genesis,2,2,"И соверши Бог в день шестый дела Своя, яже сотвори: и почи в день седмый от всех дел Своих, яже сотвори."
Genesis,2,3,"И благослови Бог день седмый, и освяти его: яко в той почи от всех дел Своих, яже начат Бог творити."
Genesis,2,4,"Сия книга бытия небесе и земли, егда бысть, в оньже день сотвори Господь Бог небо и землю,"
Genesis,2,5,"и всякий злак селный, прежде даже быти на земли, и всякую траву селную, прежде даже прозябнути: не бо одожди Господь Бог на землю, и человек не бяше делати ю:"
Genesis,2,6,источник же исхождаше из земли и напаяше все лице земли.
Genesis,2,7,"И созда Бог человека, персть (взем) от земли, и вдуну в лице его дыхание жизни: и бысть человек в душу живу."
Genesis,2,8,"И насади Господь Бог рай во Едеме на востоцех, и введе тамо человека, егоже созда."
Genesis,2,9,"И прозябе Бог еще от земли всякое древо красное в видение и доброе в снедь: и древо жизни посреде рая, и древо еже ведети разуметелное добраго и лукаваго."
Genesis,2,10,Река же исходит из Едема напаяти рай: оттуду разлучается в четыри начала.
Genesis,2,11,Имя единей Фисон: сия окружающая всю землю Евилатскую: тамо убо есть злато.
Genesis,2,12,Злато же оныя земли доброе: и тамо есть анфракс и камень зеленый.
Genesis,2,13,И имя реце вторей Геон: сия окружающая всю землю Ефиопскую.
Genesis,2,14,И река третия Тигр: сия проходящая прямо Ассириом. Река же четвертая Евфрат.
Genesis,2,15,"И взя Господь Бог человека, егоже созда, и введе его в рай Сладости, делати его и хранити."
Genesis,2,16,"И заповеда Господь Бог Адаму, глаголя: от всякаго древа, еже в раи, снедию снеси:"
Genesis,2,17,"от древа же, еже разумети доброе и лукавое, не снесте от него: а в оньже аще день снесте от него, смертию умрете."
Genesis,2,18,И рече Господь Бог: не добро быти человеку единому: сотворим ему помощника по нему.
Genesis,2,19,"И созда Бог еще от земли вся звери селныя и вся птицы небесныя, и приведе я ко Адаму видети, что наречет я: и всяко еже аще нарече Адам душу живу, сие имя ему."
Genesis,2,20,"И нарече Адам имена всем скотом, и всем птицам небесным, и всем зверем земным. Адаму же не обретеся помощник подобный ему."
Genesis,2,21,"И наложи Бог изступление на Адама, и успе: и взя едино от ребр его, и исполни плотию вместо его."
Genesis,2,22,"И созда Господь Бог ребро, еже взя от Адама, в жену, и приведе ю ко Адаму."
Genesis,2,23,"И рече Адам: се, ныне кость от костей моих и плоть от плоти моея: сия наречется жена, яко от мужа своего взята бысть сия."
Genesis,2,24,"Сего ради оставит человек отца своего и матерь и прилепится к жене своей, и будета два в плоть едину."
Genesis,2,25,"И беста оба нага, Адам же и жена его, и не стыдястася."
Genesis,3,1,"Змий же бе мудрейший всех зверей сущих на земли, ихже сотвори Господь Бог. И рече змий жене: что яко рече Бог: да не ясте от всякаго древа райскаго?"
Genesis,3,2,И рече жена змию: от всякаго древа райскаго ясти будем:
Genesis,3,3,"от плода же древа, еже есть посреде рая, рече Бог, да не ясте от него, ниже прикоснетеся ему, да не умрете."
Genesis,3,4,И рече змий жене: не смертию умрете:
Genesis,3,5,"ведяше бо Бог, яко в оньже аще день снесте от него, отверзутся очи ваши, и будете яко бози, ведяще доброе и лукавое."
Genesis,3,6,"И виде жена, яко добро древо в снедь и яко угодно очима видети и красно есть, еже разумети: и вземши от плода его яде, и даде мужу своему с собою, и ядоста."
Genesis,3,7,"И отверзошася очи обема, и разумеша, яко нази беша: и сшиста листвие смоковное, и сотвориста себе препоясания."
Genesis,3,8,И услышаста глас Господа Бога ходяща в раи по полудни: и скрыстася Адам же и жена его от лица Господа Бога посреде древа райскаго.
Genesis,3,9,"И призва Господь Бог Адама и рече ему: Адаме, где еси?"
Genesis,3,10,"И рече Ему: глас слышах Тебе ходяща в раи, и убояхся, яко наг есмь, и скрыхся."
Genesis,3,11,"И рече ему Бог: кто возвести тебе, яко наг еси, аще не бы от древа, егоже заповедах тебе сего единаго не ясти, от него ял еси?"
Genesis,3,12,"И рече Адам: жена, юже дал еси со мною, та ми даде от древа, и ядох."
Genesis,3,13,"И рече Господь Бог жене: что сие сотворила еси? И рече жена: змий прельсти мя, и ядох."
Genesis,3,14,"И рече Господь Бог змию: яко сотворил еси сие, проклят ты от всех скотов и от всех зверей земных: на персех твоих и чреве ходити будеши, и землю снеси вся дни живота твоего:"
Genesis,3,15,"и вражду положу между тобою и между женою, и между семенем твоим и между семенем тоя: той твою блюсти будет главу, и ты блюсти будеши его пяту."
Genesis,3,16,"И жене рече: умножая умножу печали твоя и воздыхания твоя: в болезнех родиши чада, и к мужу твоему обращение твое, и той тобою обладати будет."
Genesis,3,17,"И Адаму рече: яко послушал еси гласа жены твоея и ял еси от древа, егоже заповедах тебе сего единаго не ясти, от него ял еси: проклята земля в делех твоих, в печалех снеси тую вся дни живота твоего:"
Genesis,3,18,"терния и волчцы возрастит тебе, и снеси траву селную:"
Genesis,3,19,"в поте лица твоего снеси хлеб твой, дондеже возвратишися в землю, от неяже взят еси: яко земля еси, и в землю отидеши."
Genesis,3,20,"И нарече Адам имя жене своей Жизнь, яко та мати всех живущих."
Genesis,3,21,"И сотвори Господь Бог Адаму и жене его ризы кожаны, и облече их."
Genesis,3,22,"И рече Бог: се, Адам бысть яко един от Нас, еже разумети доброе и лукавое: и ныне да не когда прострет руку свою и возмет от древа жизни и снест, и жив будет во век."
Genesis,3,23,"И изгна его Господь Бог из рая Сладости делати землю, от неяже взят бысть."
Genesis,3,24,"И изрину Адама, и всели его прямо рая Сладости: и пристави Херувима, и пламенное оружие обращаемое, хранити путь древа жизни."
Genesis,4,1,"Адам же позна Еву жену свою, и заченши роди Каина и рече: стяжах человека Богом."
Genesis,4,2,"И приложи родити брата его, Авеля. И бысть Авель пастырь овец, Каин же бе делаяй землю."
Genesis,4,3,"И бысть по днех, принесе Каин от плодов земли жертву Богу:"
Genesis,4,4,и Авель принесе и той от первородных овец своих и от туков их. И призре Бог на Авеля и на дары его:
Genesis,4,5,"на Каина же и на жертвы его не внят. И опечалися Каин зело, и испаде лице его."
Genesis,4,6,И рече Господь Бог Каину: вскую прискорбен был еси? И вскую испаде лице твое?
Genesis,4,7,"Еда аще право принесл еси, право же не разделил еси, не согрешил ли еси? Умолкни: к тебе обращение его, и ты тем обладаеши."
Genesis,4,8,"И рече Каин ко Авелю брату своему: пойдем на поле. И бысть внегда быти им на поли, воста Каин на Авеля брата своего и уби его."
Genesis,4,9,И рече Господь Бог ко Каину: где есть Авель брат твой? И рече: не вем: еда страж брату моему есмь аз?
Genesis,4,10,И рече Господь: что сотворил еси сие? Глас крове брата твоего вопиет ко Мне от земли:
Genesis,4,11,"и ныне проклят ты на земли, яже разверзе уста своя прияти кровь брата твоего от руки твоея:"
Genesis,4,12,"егда делаеши землю, и не приложит силы своея дати тебе: стеня и трясыйся будеши на земли."
Genesis,4,13,"И рече Каин ко Господу Богу: вящшая вина моя, еже оставитися ми:"
Genesis,4,14,"аще изгониши мя днесь от лица земли, и от лица Твоего скрыюся, и буду стеня и трясыйся на земли, и будет, всяк обретаяй мя убиет мя."
Genesis,4,15,"И рече ему Господь Бог: не тако: всяк убивый Каина седмижды отмстится. И положи Господь Бог знамение на Каине, еже не убити его всякому обретающему его."
Genesis,4,16,"И изыде Каин от лица Божия и вселися в землю Наид, прямо Едему."
Genesis,4,17,"И позна Каин жену свою, и заченши роди Еноха. И бе зиждяй град, и именова град во имя сына своего Енох."
Genesis,4,18,Родися же Еноху Гаидад: и Гаидад роди Малелеила: и Малелеил роди Мафусала: Мафусал же роди Ламеха.
Genesis,4,19,И взя себе Ламех две жены: имя единей Ада и имя вторей Селла.
Genesis,4,20,И роди Ада Иовила: сей бяше отец живущих в селениих скотопитателей.
Genesis,4,21,И имя брату его Иувал: сей бяше показавый певницу и гусли.
Genesis,4,22,"Селла же и тая роди Фовела: сей бяше млатобиец, ковачь меди и железа: сестра же Фовелова Ноема."
Genesis,4,23,"Рече же Ламех своим женам: Ада и Селла, услышите глас мой, жены Ламеховы, внушите моя словеса: яко мужа убих в язву мне и юношу в струп мне:"
Genesis,4,24,"яко седмицею отмстися от Каина, от Ламеха же седмьдесят седмицею."
Genesis,4,25,"Позна же Адам Еву жену свою: и заченши роди сына, и именова имя ему Сиф, глаголющи: воскреси бо ми Бог семя другое, вместо Авеля, егоже уби Каин."
Genesis,4,26,И Сифу бысть сын: именова же имя ему Енос: сей упова призывати имя Господа Бога.
Genesis,5,1,"Сия книга бытия человеча, в оньже день сотвори Бог Адама, по образу Божию сотвори его,"
Genesis,5,2,"мужа и жену сотвори их и благослови их: и нарече имя ему Адам, в оньже день сотвори их."
Genesis,5,3,"Поживе же Адам лет двесте тридесять и роди сына по виду своему и по образу своему, и нарече имя ему Сиф."
Genesis,5,4,"Быша же дние Адамовы, яже поживе, по еже родити ему Сифа, лет седмь сот, и роди сыны и дщери."
Genesis,5,5,"И быша вси дние Адамовы, яже поживе, лет девять сот и тридесять: и умре."
Genesis,5,6,Поживе же Сиф лет двесте пять и роди Еноса.
Genesis,5,7,"И поживе Сиф, по еже родити ему Еноса, лет седмь сот и седмь, и роди сыны и дщери."
Genesis,5,8,И быша вси дние Сифовы лет девять сот и дванадесять: и умре.
Genesis,5,9,И поживе Енос лет сто девятьдесят и роди Каинана.
Genesis,5,10,"И поживе Енос, по еже родити ему Каинана, лет седмь сот и пятьнадесять, и роди сыны и дщери."
Genesis,5,11,И быша вси дние Еносовы лет девять сот и пять: и умре.
Genesis,5,12,И поживе Каинан лет сто седмьдесят и роди Малелеила.
Genesis,5,13,"И поживе Каинан, по еже родити ему Малелеила, лет седмь сот и четыредесять, и роди сыны и дщери."
Genesis,5,14,И быша вси дние Каинановы лет девять сот и десять: и умре.
Genesis,5,15,И поживе Малелеил лет сто шестьдесят пять и роди Иареда.
Genesis,5,16,"И поживе Малелеил, по еже родити ему Иареда, лет седмь сот и тридесять, и роди сыны и дщери."
Genesis,5,17,И быша вси дние Малелеиловы лет осмь сот и девятьдесят пять: и умре.
Genesis,5,18,И поживе Иаред лет сто шестьдесят два и роди Еноха.
Genesis,5,19,"И поживе Иаред, по еже родити ему Еноха, лет осмь сот, и роди сыны и дщери."
Genesis,5,20,И быша вси дние Иаредовы лет девять сот и шестьдесят два: и умре.
Genesis,5,21,И поживе Енох лет сто шестьдесят пять и роди Мафусала.
Genesis,5,22,"Угоди же Енох Богу, и поживе Енох, по еже родити ему Мафусала, лет двесте, и роди сыны и дщери."
Genesis,5,23,И быша вси дние Еноховы лет триста шестьдесят пять.
Genesis,5,24,"И угоди Енох Богу, и не обреташеся, зане преложи его Бог."
Genesis,5,25,И поживе Мафусал лет сто осмьдесят седмь и роди Ламеха.
Genesis,5,26,"И поживе Мафусал, по еже родити ему Ламеха, лет седмь сот осмьдесят два, и роди сыны и дщери."
Genesis,5,27,"И быша вси дние Мафусаловы, яже поживе, лет девять сот и шестьдесят девять: и умре."
Genesis,5,28,"И поживе Ламех лет сто осмьдесят осмь и роди сына,"
Genesis,5,29,"и нарече имя ему Ное, глаголя: сей упокоит нас от дел наших и от печали рук наших, и от земли, юже прокля Господь Бог."
Genesis,5,30,"И поживе Ламех, по еже родити ему Ноа, лет пять сот и шестьдесят пять, и роди сыны и дщери."
Genesis,5,31,И быша вси дние Ламеховы лет седмь сот и пятьдесят три: и умре.
Genesis,5,32,"И бе Ное лет пяти сот, и роди сыны три, Сима, Хама, Иафефа."
Genesis,6,1,"И бысть егда начаша человецы мнози бывати на земли, и дщери родишася им:"
Genesis,6,2,"видевше же сынове Божии дщери человечи, яко добры суть, пояша себе жены от всех, яже избраша."
Genesis,6,3,"И рече Господь Бог: не имать Дух Мой пребывати в человецех сих во век, зане суть плоть: будут же дние их лет сто двадесять."
Genesis,6,4,"Исполини же бяху на земли во дни оны: и потом, егда вхождаху сынове Божии к дщерем человеческим, и раждаху себе: тии бяху исполини, иже от века, человецы именитии."
Genesis,6,5,"Видев же Господь Бог, яко умножишася злобы человеков на земли: и всяк помышляет в сердцы своем прилежно на злая во вся дни:"
Genesis,6,6,"и помысли Бог, яко сотвори человека на земли, и размысли."
Genesis,6,7,"И рече Бог: потреблю человека, егоже сотворих, от лица земли, от человека даже до скота, и от гад даже до птиц небесных: зане размыслих, яко сотворих я."
Genesis,6,8,Ное же обрете благодать пред Господем Богом.
Genesis,6,9,"Сия же бытия Ноева: Ное человек праведен совершен сый в роде своем, Богу угоди Ное."
Genesis,6,10,"Роди же Ное три сыны, Сима, Хама, Иафефа."
Genesis,6,11,"Растлеся же земля пред Богом, и наполнися земля неправды."
Genesis,6,12,"И виде Господь Бог землю, и бе растленна: яко растли всяка плоть путь свой на земли."
Genesis,6,13,"И рече Господь Бог Ною: время всякаго человека прииде пред Мя, яко исполнися земля неправды от них: и се, Аз погублю их и землю."
Genesis,6,14,"Сотвори убо себе ковчег от древ (негниющих) четвероуголных: гнезда сотвориши в ковчезе, и посмолиши его внутрьуду и внеуду смолою."
Genesis,6,15,"И тако сотвориши ковчег: трех сот лактей долгота ковчега, и пятидесяти лактей широта, и тридесяти лактей высота его."
Genesis,6,16,"Собирая сводом сотвориши ковчег, и в лакоть свершиши его свыше: дверь же ковчега сотвориши от страны: обиталища двокровна и трекровна сотвориши в нем."
Genesis,6,17,"Аз же, се, наведу потоп, воду на землю, погубити всяку плоть, в нейже есть дух жизни под небесем: и елика суть на земли, скончаются."
Genesis,6,18,"И поставлю завет Мой с тобою: внидеши же в ковчег ты и сынове твои, и жена твоя и жены сынов твоих с тобою."
Genesis,6,19,"И от всех скотов и от всех гад, и от всех зверей, и от всякия плоти, два два от всех введеши в ковчег, да питаеши с собою: мужеский пол и женский будут."
Genesis,6,20,"От всех птиц пернатых по роду, и от всех скотов по роду, и от всех гадов ползающих по земли по роду их, два два от всех внидут к тебе, питатися с тобою, мужеский пол и женский."
Genesis,6,21,"Ты же возми себе от всех брашен, яже имате ясти, и собереши к себе, и будут тебе и оным брашно."
Genesis,6,22,"И сотвори Ное вся елика заповеда ему Господь Бог, тако сотвори."
Genesis,7,1,"И рече Господь Бог к Ною: вниди ты и весь дом твой в ковчег, яко тя видех праведна предо Мною в роде сем:"
Genesis,7,2,"от скотов же чистых введи к себе седмь седмь, мужеский пол и женский: от скотов же нечистых два два, мужеский пол и женский:"
Genesis,7,3,"и от птиц небесных чистых седмь седмь, мужеский пол и женский: и от всех птиц нечистых две две, мужеский пол и женский, препитати семя по всей земли:"
