Book,Chapter,Verse,Text
Genesis,1,1,ϩⲛ ⲧⲁⲣⲭⲏ ⲁⲡⲛⲟⲩⲧⲉ ⲧⲁⲙⲓⲟ ⲛⲧⲡⲉ ⲙⲛ ⲡⲕⲁϩ
Genesis,1,2,ⲡⲕⲁϩ ⲇⲉ ⲛⲉϥⲟⲩⲟⲛϩ ⲉⲃⲟⲗ ⲁⲛ ⲡⲉ […] ⲛⲉⲩⲛⲟⲩⲕⲁⲕⲉ ϩⲓϫⲙ ⲡⲛⲟⲩⲛ () ⲡⲉ ⲡ︤ⲛ︦ⲁ︥ ⲙⲡⲛⲟⲩⲧⲉ ⲉϥⲛⲁ ⲉϥⲛⲏⲩ ϩⲓϫⲛ ⲙⲙⲟⲟⲩ
Genesis,1,3,ⲁⲩⲱ ⲡⲉϫⲁϥ ⲛϭⲓ ⲡⲛⲟⲩⲧⲉ ϫⲉ ⲙⲁⲣⲉⲩⲟⲩⲉⲓⲛ ϣⲱⲡⲉ (…)
Genesis,1,4,
Genesis,1,5,
Genesis,1,6,ⲙⲁⲣ]ⲉⲟⲩⲥⲧⲉⲣⲉⲱ[ⲙⲁ ϣⲱⲡⲉ ϩⲛ ⲧⲙⲏ]ⲧⲉ ⲛⲟⲩⲙⲟⲟⲩ (…)
Genesis,1,7,
Genesis,1,8,
Genesis,1,9,ⲙⲁⲣ[ⲉϥⲥⲱⲟⲩϩ] ⲉϩⲟⲩⲛ ⲛϭⲓ ⲡⲙⲟⲟⲩ [ⲉⲧⲥⲁⲡⲉⲥⲏⲧ] ⲛⲧⲡⲉ ⲉⲩⲥⲟⲟⲩϩⲥ [ⲛⲟ]ⲩ[ⲱⲧ ⲁⲩⲱ] ⲛϥⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ⲛ[ϭⲓ] ⲡⲉⲧ[ϣⲟⲩ]ⲱⲟⲩ (…)
Genesis,1,10,
