Book,Chapter,Verse,Text
Genesis,1,1,Alussa loi Jumala taivaan ja maan.
Genesis,1,2,"Ja maa oli autio ja tyhjä, ja pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä."
Genesis,1,3,"Ja Jumala sanoi: tulkoon valkeus, ja valkeus tuli."
Genesis,1,4,Ja Jumala näki valkeuden hyväksi. Niin Jumala eroitti valkeuden pimeydestä:
Genesis,1,5,"Ja Jumala kutsui valkeuden päiväksi, ja pimeyden kutsui hän yöksi. Ja tuli ehtoosta ja aamusta ensimäinen päivä."
Genesis,1,6,"Ja Jumala sanoi: tulkoon vahvuus vetten vaiheelle, eroittamaan vesiä vesistä."
Genesis,1,7,"Ja Jumala teki vahvuuden, ja eroitti vedet, jotka ovat vahvuuden alla, niistä vesistä, jotka ovat vahvuuden päällä: ja tapahtui niin."
Genesis,1,8,Ja Jumala kutsui vahvuuden taivaaksi. Ja tuli ehtoosta ja aamusta toinen päivä.
Genesis,1,9,"Ja Jumala sanoi: kokoontukoon vedet taivaan alla erinomaiseen paikkaan, niin että kuiva näkyy. Ja tapahtui niin."
Genesis,1,10,"Ja Jumala kutsui kuivan maaksi, ja vetten kokoukset hän kutsui mereksi. Ja Jumala näki sen hyväksi."
Genesis,1,11,"Ja Jumala sanoi: vihoittakoon maa, ja kasvakoon ruohon, jossa siemen on, ja hedelmälliset puut, jotka hedelmän kantavat lajinsa jälkeen, jossa sen siemen on maan päällä. Ja tapahtui niin."
Genesis,1,12,"Ja maa vihoitti ja kasvoi ruohon, jossa siemen oli lajinsa jälkeen, ja hedelmälliset puut, joiden siemen oli itsessänsä lajinsa jälkeen. Ja Jumala näki sen hyväksi."
Genesis,1,13,Ja tuli ehtoosta ja aamusta kolmas päivä.
Genesis,1,14,"Ja Jumala sanoi: tulkoon valkeudet taivaan vahvuuteen, eroittamaan päivää ja yötä: ja olkoon merkeiksi, ja ajoiksi, ja päiviksi ja vuosiksi."
Genesis,1,15,"Ja olkoon valkeudeksi taivaan vahvuudessa, paistamaan maan päälle. Ja tapahtui niin."
Genesis,1,16,"Ja Jumala teki kaksi suurta valkeutta: suuremman valkeuden päivää hallitsemaan, ja vähemmän valkeuden yötä hallitsemaan, ja tähdet."
Genesis,1,17,"Ja Jumala pani ne taivaan vahvuuteen, paistamaan maan päälle."
Genesis,1,18,"Ja hallitsemaan päivää ja yötä, ja eroittamaan valkeutta ja pimeyttä. Ja Jumala näki sen hyväksi."
Genesis,1,19,Ja tuli ehtoosta ja aamusta neljäs päivä.
Genesis,1,20,"Ja Jumala sanoi: kuohuttakoon vedet yltäkyllä liikkuvaisia eläimiä, ja linnut lentäköön maan päällä taivaan avaruudessa."
Genesis,1,21,"Ja Jumala loi suuret valaskalat, ja kaikkinaiset liikkuvaiset eläimet, jotka vedet kuohuttivat yltäkyllä kunkin lajinsa jälkeen, ja kaikkinaiset siivilliset linnut, lajinsa jälkeen. Ja Jumala näki sen hyväksi."
