Book,Chapter,Verse,Text
Genesis,1,1,Alussa Jumala loi taivaan ja maan.
Genesis,1,2,"Mutta maa oli autio ja tyhjä, pimeys oli syvyyden päällä, ja Jumalan Henki liikkui vetten päällä."
Genesis,1,3,"Jumala sanoi: ""Tulkoon valkeus!"" ja valkeus tuli."
Genesis,1,4,"Jumala näki, että valkeus oli hyvä, ja Jumala erotti valkeuden pimeydestä."
Genesis,1,5,"Jumala nimitti valkeuden päiväksi, ja pimeyden hän nimitti yöksi. Illasta ja aamusta oli tullut yksi päivä."
Genesis,1,6,"Jumala sanoi: ""Tulkoon taivaanvahvuus vesien keskuuteen ja olkoon erotuksena vesien välillä."""
Genesis,1,7,"Jumala teki taivaanvahvuuden ja erotti vedet, jotka ovat taivaanvahvuuden alla, vesistä, jotka ovat taivaanvahvuudessa, ja tapahtui niin."
Genesis,1,8,Jumala kutsui vahvuuden taivaaksi. Illasta ja aamusta oli tullut toinen päivä.
Genesis,1,9,"Jumala sanoi: ""Kokoontukoot vedet, jotka ovat taivaan alla, yhteen paikkaan, niin että kuiva tulee näkyviin."" Tapahtui niin."
Genesis,1,10,"Jumala kutsui kuivan maaksi, ja paikan, mihin vedet olivat kokoontuneet, hän kutsui mereksi. Jumala näki, että se oli hyvä."
Genesis,1,11,"Jumala sanoi: ""Kasvakoon maa vihantaa, ruohoja, jotka tekevät siementä, ja hedelmäpuita, jotka lajiensa mukaan kantavat maan päällä hedelmää, jossa niiden siemen on."" Tapahtui niin:"
Genesis,1,12,"maa tuotti vihanneskasveja, ruohoja, jotka tekivät siementä lajiensa mukaan, ja puita, jotka lajiensa mukaan kantoivat hedelmää, jossa niiden siemen oli. Jumala näki, että se oli hyvä."
Genesis,1,13,Illasta ja aamusta oli tullut kolmas päivä.
Genesis,1,14,"Jumala sanoi: ""Tulkoot valot taivaanvahvuuteen erottamaan päivää yöstä, ja olkoot ne merkkeinä osoittamassa aikoja, päiviä ja vuosia."
Genesis,1,15,"Olkoot ne valoina taivaanvahvuu-dessa paistamassa maan päälle."" Tapahtui niin:"
Genesis,1,16,"Jumala teki kaksi suurta valoa, suuremman valon hallitsemaan päivää ja pienemmän valon hallitsemaan yötä, sekä tähdet."
Genesis,1,17,Jumala pani ne taivaanvahvuuteen paistamaan maan päälle
Genesis,1,18,"ja hallitsemaan päivää ja yötä sekä erottamaan valkeuden pimeästä. Jumala näki, että se oli hyvä."
Genesis,1,19,Illasta ja aamusta oli tullut neljäs päivä.
Genesis,1,20,"Jumala sanoi: ""Viliskööt vedet eläviä olentoja, ja lennelkööt linnut maan yllä taivaanvahvuudella."""
Genesis,1,21,"Jumala loi suuret merieläimet ja kaikki liikkuvat, vesissä vilisevät elävät olennot, kunkin lajinsa mukaan, ja kaikki siivekkäät linnut, kunkin lajinsa mukaan. Jumala näki, että se oli hyvä."
Genesis,1,22,"Jumala siunasi ne sanoen: ""Olkaa hedelmälliset, lisääntykää ja täyttäkää meren vedet, ja linnut lisääntykööt maan päällä."""
Genesis,1,23,Illasta ja aamusta oli tullut viides päivä.
Genesis,1,24,"Jumala sanoi: ""Tuottakoon maa elävät olennot, kunkin lajinsa mukaan, karjaeläimet, matelijat ja maaeläimet, kunkin lajinsa mukaan."" Tapahtui niin."
Genesis,1,25,"Jumala teki metsäeläimet, kunkin lajinsa mukaan, ja karjaeläimet, kunkin lajinsa mukaan, ja kaikki maan matelijat, kunkin lajinsa mukaan. Jumala näki, että se oli hyvä."
Genesis,1,26,"Jumala sanoi: ""Tehkäämme ihminen kuvaksemme, kaltaiseksemme. Vallitkoot he meren kalat ja taivaan linnut ja karjaeläimet ja koko maan ja kaikki matelijat, jotka maassa matelevat."""
Genesis,1,27,"Jumala loi ihmisen omaksi kuvakseen, Jumalan kuvaksi hän loi hänet, mieheksi ja naiseksi hän loi heidät."
