Book,Chapter,Verse,Text
Genesis,1,1,Au commencement Dieu créa le ciel et la terre.
Genesis,1,2,"La terre était informe et vide; les ténèbres couvraient l'abîme, et l'Esprit de Dieu se mouvait au-dessus des eaux."
Genesis,1,3,"Dieu dit: "" Que la lumière soit! "" et la lumière fut."
Genesis,1,4,Et Dieu vit que la lumière était bonne; et Dieu sépara la lumière et les ténèbres.
Genesis,1,5,"Dieu appela la lumière jour, et les ténèbres Nuit. Et il y eut un soir, et il y eut un matin; ce fut le premier jour."
Genesis,1,6,"Dieu dit: "" Qu'il y ait un firmament entre les eaux, et qu'il sépare les eaux d'avec les eaux. """
Genesis,1,7,"Et Dieu fit le firmament, et il sépara les eaux qui sont au-dessous du firmament d'avec les eaux qui sont au-dessus du firmament. Et cela fut ainsi."
Genesis,1,8,Dieu appela le firmament Ciel. Et il y eut un soir et il y eut un matin; ce fut le second jour.
Genesis,1,9,"Dieu dit: "" Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. "" Et cela fut ainsi."
Genesis,1,10,"Dieu appela le sec Terre, et il appela Mer l'amas des eaux. Et Dieu vit que cela était bon."
Genesis,1,11,"Puis Dieu dit: "" Que la terre fasse pousser du gazon, des herbes portant semence, des arbres à fruit produisant, selon leur espèce, du fruit ayant en soi sa semence, sur la terre. "" Et cela fut ainsi."
Genesis,1,12,"Et la terre fit sortir du gazon, des herbes portant semence selon leur espèce, et des arbres produisant, selon leur espèce, du fruit ayant en soi sa semence. Et Dieu vit que cela était bon."
Genesis,1,13,"Et il y eut un soir, et il y eut un matin; ce fut le troisième jour."
Genesis,1,14,"Dieu dit: "" Qu'il y ait des luminaires dans le firmament du ciel pour séparer le jour et la nuit; qu'ils soient des signes, qu'ils marquent les époques, les jours et les années,"
Genesis,1,15,"et qu'ils servent de luminaires dans le firmament du ciel pour éclairer la terre. "" Et cela fut ainsi."
Genesis,1,16,"Dieu fit les deux grands luminaires, le plus grand luminaire pour présider au jour, le plus petit luminaire pour présider à la nuit; il fit aussi les étoiles."
Genesis,1,17,"Dieu les plaça dans le firmament du ciel pour éclairer la terre,"
Genesis,1,18,"pour présider au jour et à la nuit, et pour séparer la lumière et les ténèbres. Et Dieu vit que cela était bon."
Genesis,1,19,"Et il y eut un soir, et il y eut un matin: ce fut le quatrième jour."
Genesis,1,20,"Dieu dit: "" Que les eaux foisonnent d'une multitude d'êtres vivants, et que les oiseaux volent sur la terre, sur la face du firmament du ciel. """
Genesis,1,21,"Et Dieu créa les grands animaux aquatiques, et tout être vivant qui se meut, foisonnant dans les eaux, selon leur espèce, et tout volatile ailé selon son espèce. Et Dieu vit que cela était bon."
Genesis,1,22,"Et Dieu les bénit, en disant: "" Soyez féconds et multipliez, et remplissez les eaux de la mer, et que les oiseaux multiplient sur la terre. """
Genesis,1,23,"Et il y eut un soir, et il y eut un matin: ce fut le cinquième jour."
Genesis,1,24,"Dieu dit: "" Que la terre fasse sortir des êtres animés selon leur espèce, des animaux domestiques, des reptiles et des bêtes de la terre selon leur espèce. "" Et cela fut ainsi."
Genesis,1,25,"Dieu fit les bêtes de la terre selon leur espèce, les animaux domestiques selon leur espèce, et tout ce qui rampe sur la terre selon son espèce. Et Dieu vit que cela était bon."
Genesis,1,26,"Puis Dieu dit: "" Faisons l'homme à notre image, selon notre ressemblance, et qu'il domine sur les poissons de la mer, sur les oiseaux du ciel, sur les animaux domestiques et sur toute la terre, et sur les reptiles qui rampent sur la terre. """
Genesis,1,27,Et Dieu créa l'homme à son image; il le créa à l'image de Dieu: il les créa mâle et femelle.
Genesis,1,28,"Et Dieu les bénit, et il leur dit: "" Soyez féconds, multipliez, remplissez la terre et soumettez-la, et dominez sur les poissons de la mer, sur les oiseaux du ciel et sur tout animal qui se meut sur la terre. """
