Book,Chapter,Verse,Text
Genesis,1,1,Au commencement Dieu créa le ciel et la terre.
Genesis,1,2,"Or la terre était invisible et vide; les ténèbres étaient au-dessus de l'abîme, et l'Esprit de Dieu était porté sur les eaux."
Genesis,1,3,"Et Dieu dit: Soit la lumière, et la lumière fut."
Genesis,1,4,"Dieu vit que la lumière était bonne, et il sépara la lumière des ténèbres."
Genesis,1,5,"Dieu appela la lumière jour; il appela nuit les ténèbres. Et il y eut un soir, et il y eut un matin; un jour."
Genesis,1,6,Dieu dit ensuite: Qu'il y ait un firmament au milieu des eaux; qu'il sépare les eaux des eaux; et il en fut ainsi.
Genesis,1,7,"Dieu créa le firmament, il sépara les eaux qui étaient au-dessus du firmament, des eaux qui étaient au-dessous du firmament."
Genesis,1,8,"Il appela le firmament ciel. Et Dieu vit que cela était bien. Et il y eut un soir, et il y eut un matin, et ce fut un deuxième jour."
Genesis,1,9,"Après quoi Dieu dit: Que les eaux, au-dessous du ciel, soient réunies en un seul amas, et que l'aride apparaisse. Et il en fut ainsi: les eaux, au- dessous du ciel, furent réunies en un seul amas, et l'aride apparut."
Genesis,1,10,Dieu appela l'aride terre; il appela mers l'amas des eaux. Et Dieu vit que cela était bien.
Genesis,1,11,"Et Dieu dit: Que la terre produise des plantes herbacées, portant semence selon les espèces et les similitudes, et des arbres fertiles en fruits, qui aient en eux les semences propres à chaque espèce sur la terre. Et il en fut ainsi:"
Genesis,1,12,"La terre produisit des plantes herbacées, portant semence selon les espèces et les similitudes, et des arbres fertiles en fruits ayant en eux les semences propres à chaque espèce sur la terre. Et Dieu vit que cela était bien."
Genesis,1,13,"Et il y eut un soir, et il y eut un matin, et ce fut un troisième jour."
Genesis,1,14,"Dieu dit ensuite: Que des luminaires soient dans le firmament du ciel, pour luire sur la terre et séparer les jours et les nuits; qu'ils soient les signes des temps et des jours et des années;"
Genesis,1,15,"Qu'ils brillent au firmament du ciel, pour éclairer la surface de la terre. Et il en fut ainsi:"
Genesis,1,16,"Dieu créa les deux grands luminaires: le plus grand luminaire pour présider aux jours, le luminaire le plus petit pour présider aux nuits. Il créa les étoiles,"
Genesis,1,17,"Qu'il plaça dans le firmament du ciel pour éclairer la surface de la terre,"
Genesis,1,18,"Présider aux jours et aux nuits, et séparer la lumière des ténèbres. Et Dieu vit que cela était bien."
Genesis,1,19,"Et il y eut un soir, et il y eut un matin, et ce fut un quatrième jour."
Genesis,1,20,"Et Dieu dit: Que les eaux produisent des reptiles, âmes vivantes, et des oiseaux volant sur la terre, sous le firmament du ciel. Et il en fut ainsi:"
