Book,Chapter,Verse,Text
Genesis,1,1,Am Anfang schuf Gott Himmel und Erde.
Genesis,1,2,"Und die Erde war wüst und leer, und es war finster auf der Tiefe; und der Geist Gottes schwebete auf dem Wasser."
Genesis,1,3,Und Gott sprach: Es werde Licht! Und es ward Licht.
Genesis,1,4,"Und Gott sah, dati das Licht gut war. Da schied Gott das Licht von der Finsternis"
Genesis,1,5,und nannte das Licht Tag und die Finsternis Nacht. Da ward aus Abend und Morgen der erste Tag.
Genesis,1,6,"Und Gott sprach: Es werde eine Feste zwischen den Wassern, und die sei ein Unterschied zwischen den Wassern."
Genesis,1,7,Da machte Gott die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste. Und es geschah also.
Genesis,1,8,Und Gott nannte die Feste Himmel. Da ward aus Abend und Morgen derandere Tag.
Genesis,1,9,"Und Gott sprach: Es sammle sich das Wasser unter dem Himmel an sondere Oder, daß man das Trockene sehe. Und es geschah also."
Genesis,1,10,"Und Gott nannte das Trockene Erde, und die Sammlung der Wasser nannte er Meer. Und Gott sah, daß es gut war."
Genesis,1,11,"Und Gott sprach: Es lasse die Erde aufgehen Gras und Kraut, das sich besame, und fruchtbare Baume, da ein jeglicher nach seiner Art Frucht trage und habe seinen eigenen Samen bei ihm selbst auf Erden. Und es geschah also."
Genesis,1,12,"Und die Erde lieft aufgehen Gras und Kraut, das sich besamte, ein jegliches nach seiner Art, und Baume, die da Frucht trugen und ihren eigenen Samen bei sich selbst hatten, ein jeglicher nach seiner Art. Und Gott sah, daß es gut war."
Genesis,1,13,Da ward aus Abend und Morgen der dritte Tag.
Genesis,1,14,"Und Gott sprach: Eswerden Lichterander Feste des Himmels, die da scheiden Tag und Nacht und geben Zeichen, Zeiten, Tage und Jahre;"
Genesis,1,15,"und seien Lichter an der Feste des Himmels, daß sie scheinen auf Erden. Und es geschah also."
Genesis,1,16,"Und Gott machte zwei grofte Lichter: ein graft Licht, das den Tag regiere, und ein klein Licht, das die Nacht regiere, dazu auch Sterne."
Genesis,1,17,"Und Gott setzte sie an die Feste des Himmels, daß sie schienen auf die Erde"
