Book,Chapter,Verse,Text
Genesis,1,1,Im Anfang schuf Gott den Himmel und die Erde.
Genesis,1,2,"Und die Erde war wüst und leer, und es lag Finsternis auf der Tiefe, und der Geist Gottes schwebte über den Wassern."
Genesis,1,3,Und Gott sprach: Es werde Licht! Und es ward Licht.
Genesis,1,4,"Und Gott sah, daß das Licht gut war; da schied Gott das Licht von der Finsternis;"
Genesis,1,5,"und Gott nannte das Licht Tag, und die Finsternis Nacht. Und es ward Abend, und es ward Morgen: der erste Tag."
Genesis,1,6,"Und Gott sprach: Es soll eine Feste entstehen inmitten der Wasser, die bilde eine Scheidewand zwischen den Gewässern!"
Genesis,1,7,"Und Gott machte die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste, daß es so ward."
Genesis,1,8,"Und Gott nannte die Feste Himmel. Und es ward Abend, und es ward Morgen: der zweite Tag."
Genesis,1,9,"Und Gott sprach: Es sammle sich das Wasser unter dem Himmel an einen Ort, daß man das Trockene sehe! Und es geschah also."
Genesis,1,10,"Und Gott nannte das Trockene Land; aber die Sammlung der Wasser nannte er Meer. Und Gott sah, daß es gut war."
Genesis,1,11,"Und Gott sprach: Es lasse die Erde grünes Gras sprossen und Gewächs, das Samen trägt, fruchtbare Bäume, deren jeder seine besondere Art Früchte bringt, in welcher ihr Same sei auf Erden! Und es geschah also."
Genesis,1,12,"Und die Erde brachte hervor Gras und Gewächs, das Samen trägt nach seiner Art, und Bäume, welche Früchte bringen, in welchen ihr Same ist nach ihrer Art. Und Gott sah, daß es gut war."
Genesis,1,13,"Und es ward Abend, und es ward Morgen: der dritte Tag."
Genesis,1,14,"Und Gott sprach: Es seien Lichter an der Himmelsfeste, zur Unterscheidung von Tag und Nacht, die sollen zur Bestimmung der Zeiten und der Tage und Jahre dienen,"
Genesis,1,15,"und zu Leuchtern an der Himmelsfeste, daß sie die Erde beleuchten! Und es geschah also."
Genesis,1,16,"Und Gott machte die zwei großen Lichter, das große Licht zur Beherrschung des Tages und das kleinere Licht zur Beherrschung der Nacht; dazu die Sterne."
Genesis,1,17,"Und Gott setzte sie an die Himmelsfeste, damit sie die Erde beleuchteten"
Genesis,1,18,"und den Tag und die Nacht beherrschten und Licht und Finsternis unterschieden. Und Gott sah, daß es gut war."
Genesis,1,19,"Und es ward Abend, und es ward Morgen: der vierte Tag."
Genesis,1,20,"Und Gott sprach: Das Wasser soll wimmeln von einer Fülle lebendiger Wesen, und es sollen Vögel fliegen über die Erde, an der Himmelsfeste dahin!"
Genesis,1,21,"Und Gott schuf die großen Fische und alles, was da lebt und webt, wovon das Wasser wimmelt, nach ihren Gattungen, dazu allerlei Vögel nach ihren Gattungen. Und Gott sah, daß es gut war."
Genesis,1,22,"Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und füllet das Wasser im Meere, und das Geflügel mehre sich auf Erden!"
Genesis,1,23,"Und es ward Abend, und es ward Morgen: der fünfte Tag."
Genesis,1,24,"Und Gott sprach: Die Erde bringe hervor lebendige Wesen nach ihrer Art, Vieh, Gewürm und Tiere des Feldes nach ihrer Art! Und es geschah also."
Genesis,1,25,"Und Gott machte die Tiere des Feldes nach ihrer Art und das Vieh nach seiner Art. Und Gott sah, daß es gut war."
Genesis,1,26,"Und Gott sprach: Wir wollen Menschen machen nach unserm Bild uns ähnlich; die sollen herrschen über die Fische im Meer und über die Vögel des Himmels und über das Vieh auf der ganzen Erde, auch über alles, was auf Erden kriecht!"
Genesis,1,27,"Und Gott schuf den Menschen ihm zum Bilde, zum Bilde Gottes schuf er ihn; männlich und weiblich schuf er sie."
Genesis,1,28,"Und Gott segnete sie und sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und machet sie euch untertan und herrschet über die Fische im Meer und über die Vögel des Himmels und über alles Lebendige, was auf Erden kriecht!"
Genesis,1,29,"Und Gott sprach: Siehe, ich habe euch alles Gewächs auf Erden gegeben, das Samen trägt, auch alle Bäume, an welchen Früchte sind, die Samen tragen; sie sollen euch zur Nahrung dienen;"
Genesis,1,30,"aber allen Tieren der Erde und allen Vögeln des Himmels und allem, was auf Erden kriecht, allem, was eine lebendige Seele hat, habe ich alles grüne Kraut zur Nahrung gegeben. Und es geschah also."
Genesis,1,31,"Und Gott sah an alles, was er gemacht hatte, und siehe, es war sehr gut. Und es ward Abend, und es ward Morgen: der sechste Tag."
Genesis,2,1,"Also waren Himmel und Erde vollendet samt ihrem ganzen Heer,"
Genesis,2,2,"so daß Gott am siebenten Tage sein Werk vollendet hatte, das er gemacht; und er ruhte am siebenten Tage von allen seinen Werken, die er gemacht hatte."
Genesis,2,3,"Und Gott segnete den siebenten Tag und heiligte ihn, denn an demselbigen ruhte er von all seinem Werk, das Gott schuf, als er es machte."
Genesis,2,4,"Dies ist die Entstehung des Himmels und der Erde, zur Zeit, als Gott der HERR Himmel und Erde schuf."
