Book,Chapter,Verse,Text
Genesis,1,1,Εν αρχή εποίησεν ο Θεός τον ουρανόν και την γην.
Genesis,1,2,Η δε γη ήτο άμορφος και έρημος· και σκότος επί του προσώπου της αβύσσου. Και πνεύμα Θεού εφέρετο επί της επιφανείας των υδάτων.
Genesis,1,3,"Και είπεν ο Θεός, Γενηθήτω φώς· και έγεινε φώς·"
Genesis,1,4,και είδεν ο Θεός το φως ότι ήτο καλόν· και διεχώρισεν ο Θεός το φως από του σκότους·
Genesis,1,5,"και εκάλεσεν ο Θεός το φως, Ημέραν· το δε σκότος εκάλεσε, Νύκτα. Και έγεινεν εσπέρα και έγεινε πρωΐ, ημέρα πρώτη."
Genesis,1,6,"Και είπεν ο Θεός, Γενηθήτω στερέωμα αναμέσον των υδάτων, και ας διαχωρίζη ύδατα από υδάτων."
Genesis,1,7,"Και εποίησεν ο Θεός το στερέωμα, και διεχώρισε τα ύδατα τα υποκάτωθεν του στερεώματος από των υδάτων των επάνωθεν του στερεώματος. Και έγεινεν ούτω."
Genesis,1,8,"Και εκάλεσεν ο Θεός το στερέωμα, Ουρανόν. Και έγεινεν εσπέρα και έγεινε πρωΐ, ημέρα δευτέρα."
Genesis,1,9,"Και είπεν ο Θεός, Ας συναχθώσι τα ύδατα τα υποκάτω του ουρανού εις τόπον ένα, και ας φανή η ξηρά. Και έγεινεν ούτω."
Genesis,1,10,"Και εκάλεσεν ο Θεός την ξηράν, γήν· και το σύναγμα των υδάτων εκάλεσε, Θαλάσσας· και είδεν ο Θεός ότι ήτο καλόν."
Genesis,1,11,"Και είπεν ο Θεός, Ας βλαστήση η γη χλωρόν χόρτον, χόρτον κάμνοντα σπόρον, και δένδρον κάρπιμον κάμνον καρπόν κατά το είδος αυτού, του οποίου το σπέρμα να ήναι εν αυτώ επί της γης. Και έγεινεν ούτω."
Genesis,1,12,"Και εβλάστησεν η γη χλωρόν χόρτον, χόρτον κάμνοντα σπόρον κατά το είδος αυτού, και δένδρον κάμνον καρπόν, του οποίου το σπέρμα είναι εν αυτώ κατά το είδος αυτού· και είδεν ο Θεός ότι ήτο καλόν."
Genesis,1,13,"Και έγεινεν εσπέρα και έγεινε πρωΐ, ημέρα τρίτη."
Genesis,1,14,"Και είπεν ο Θεός, Ας γείνωσι φωστήρες εν τω στερεώματι του ουρανού, διά να διαχωρίζωσι την ημέραν από της νυκτός· και ας ήναι διά σημεία και καιρούς και ημέρας και ενιαυτούς·"
Genesis,1,15,"και ας ήναι διά φωστήρας εν τω στερεώματι του ουρανού, διά να φέγγωσιν επί της γης. Και έγεινεν ούτω."
Genesis,1,16,"Και έκαμεν ο Θεός τους δύο φωστήρας τους μεγάλους, τον φωστήρα τον μέγαν διά να εξουσιάζη επί της ημέρας, και τον φωστήρα τον μικρόν διά να εξουσιάζη επί της νυκτός· και τους αστέρας·"
Genesis,1,17,"και έθεσεν αυτούς ο Θεός εν τω στερεώματι του ουρανού, διά να φέγγωσιν επί της γης,"
Genesis,1,18,και να εξουσιάζωσιν επί της ημέρας και επί της νυκτός και να διαχωρίζωσι το φως από του σκότους. Και είδεν ο Θεός ότι ήτο καλόν.
Genesis,1,19,"Και έγεινεν εσπέρα και έγεινε πρωΐ, ημέρα τετάρτη."
