Book,Chapter,Verse,Text
Genesis,1,1,元始に神天地を創造たまへり
Genesis,1,2,地は定形なく曠空くして黑暗淵の面にあり神の靈水の面を覆たりき
Genesis,1,3,神光あれと言たまひければ光ありき
Genesis,1,4,神光を善と觀たまへり神光と暗を分ちたまへり
Genesis,1,5,神光を晝と名け暗を夜と名けたまへり夕あり朝ありき是首の日なり
Genesis,1,6,神言たまひけるは水の中に穹蒼ありて水と水とを分つべし
Genesis,1,7,神穹蒼を作りて穹蒼の下の水と穹蒼の上の水とを判ちたまへり即ち斯なりぬ
Genesis,1,8,神穹蒼を天と名けたまへり夕あり朝ありき是二日なり
Genesis,1,9,神言たまひけるは天の下の水は一處に集りて乾ける土顯べしと即ち斯なりぬ
Genesis,1,10,神乾ける土を地と名け水の集合るを海と名けたまへり神之を善と觀たまへり
Genesis,1,11,神言たまひけるは地は靑草と實蓏を生ずる草蔬と其類に從ひ果を結びみづから核をもつ所の果を結ぶ樹を地に發出すべしと即ち斯なりぬ
Genesis,1,12,地靑草と其類に從ひ實蓏を生ずる草蔬と其類に從ひ果を結てみづから核をもつ所の樹を發出せり神これを善と觀たまへり
Genesis,1,13,夕あり朝ありき是三日なり
Genesis,1,14,神言たまひけるは天の穹蒼に光明ありて晝と夜とを分ち又天象のため時節のため日のため年のために成べし
Genesis,1,15,又天の穹蒼にありて地を照す光となるべしと即ち斯なりぬ
Genesis,1,16,神二の巨なる光を造り大なる光に晝を司どらしめ小き光に夜を司どらしめたまふまた星を造りたまへり
Genesis,1,17,神これを天の穹蒼に置て地を照さしめ
Genesis,1,18,晝と夜を司どらしめ光と暗を分たしめたまふ神これを善と觀たまへり
Genesis,1,19,夕あり朝ありき是四日なり
Genesis,1,20,神云たまひけるは水には生物饒に生じ鳥は天の穹蒼の面に地の上に飛べしと
Genesis,1,21,神巨なる魚と水に饒に生じて動く諸の生物を其類に從ひて創造り又羽翼ある諸の鳥を其類に從ひて創造りたまへり神之を善と觀たまへり
Genesis,1,22,神之を祝して曰く生よ繁息よ海の水に充牣よ又禽鳥は地に蕃息よと
Genesis,1,23,夕あり朝ありき是五日なり
Genesis,1,24,神言給ひけるは地は生物を其類に從て出し家畜と昆蟲と地の獸を其類に從て出すべしと即ち斯なりぬ
Genesis,1,25,神地の獸を其類に從て造り家畜を其類に從て造り地の諸の昆蟲を其類に從て造り給へり神之を善と觀給へり
Genesis,1,26,神言給けるは我儕に象りて我儕の像の如くに我儕人を造り之に海の魚と天空の鳥と家畜と全地と地に匍ふ所の諸の昆蟲を治めんと
Genesis,1,27,神其像の如くに人を創造たまへり即ち神の像の如くに之を創造之を男と女に創造たまへり
Genesis,1,28,神彼等を祝し神彼等に言たまひけるは生よ繁殖よ地に滿盈よ之を服從せよ又海の魚と天空の鳥と地に動く所の諸の生物を治めよ
Genesis,1,29,神言たまひけるは視よ我全地の面にある實蓏のなる諸の草蔬と核ある木果の結る諸の樹とを汝等に與ふこれは汝らの糧となるべし
Genesis,1,30,又地の諸の獸と天空の諸の鳥および地に匍ふ諸の物等凡そ生命ある者には我食物として諸の靑き草を與ふと即ち斯なりぬ
Genesis,1,31,神其造りたる諸の物を視たまひけるに甚だ善りき夕あり朝ありき是六日なり
Genesis,2,1,斯天地および其衆群悉く成ぬ
Genesis,2,2,第七日に神其造りたる工を竣たまへり即ち其造りたる工を竣て七日に安息たまへり
Genesis,2,3,神七日を祝して之を神聖めたまへり其は神其創造爲たまへる工を盡く竣て是日に安息みたまひたればなり
Genesis,2,4,ヱホバ神地と天を造りたまへる日に天地の創造られたる其由來は是なり
Genesis,2,5,野の諸の灌木は未だ地にあらず野の諸の草蔬は未生ぜざりき其はヱホバ神雨を地に降せたまはず亦土地を耕す人なかりければなり
Genesis,2,6,霧地より上りて土地の面を遍く潤したり
Genesis,2,7,ヱホバ神土の塵を以て人を造り生氣を其鼻に嘘入たまへり人即ち生靈となりぬ
Genesis,2,8,ヱホバ神エデンの東の方に園を設て其造りし人を其處に置たまへり
Genesis,2,9,ヱホバ神觀に美麗く食ふに善き各種の樹を土地より生ぜしめ又園の中に生命の樹および善惡を知の樹を生ぜしめ給へり
Genesis,2,10,河エデンより出て園を潤し彼處より分れて四の源となれり
Genesis,2,11,其第一の名はピソンといふ是は金あるハビラの全地を繞る者なり
Genesis,2,12,其地の金は善し又ブドラクと碧玉彼處にあり
Genesis,2,13,第二の河の名はギホンといふ是はクシの全地を繞る者なり
Genesis,2,14,第三の河の名はヒデケルといふ是はアッスリヤの東に流るるものなり第四の河はユフラテなり
Genesis,2,15,ヱホバ神其人を挈て彼をエデンの園に置き之を埋め之を守らしめ給へり
Genesis,2,16,ヱホバ神其人に命じて言たまひけるは園の各種の樹の果は汝意のままに食ふことを得
Genesis,2,17,然ど善惡を知の樹は汝その果を食ふべからず汝之を食ふ日には必ず死べければなり
Genesis,2,18,ヱホバ神言たまひけるは人獨なるは善らず我彼に適ふ助者を彼のために造らんと
Genesis,2,19,ヱホバ神土を以て野の諸の獸と天空の諸の鳥を造りたまひてアダムの之を何と名るかを見んとて之を彼の所に率ゐいたりたまへりアダムが生物に名けたる所は皆其名となりぬ
Genesis,2,20,アダム諸の家畜と天空の鳥と野の諸の獸に名を與へたり然どアダムには之に適ふ助者みえざりき
Genesis,2,21,是に於てヱホバ神アダムを熟く睡らしめ睡りし時其肋骨の一を取り肉をもて其處を填塞たまへり
Genesis,2,22,ヱホバ神アダムより取たる肋骨を以て女を成り之をアダムの所に携きたりたまへり
Genesis,2,23,アダム言けるは此こそわが骨の骨わが肉の肉なれ此は男より取たる者なれば之を女と名くべしと
Genesis,2,24,是故に人は其父母を離れて其妻に好合ひ二人一體となるべし
Genesis,2,25,アダムと其妻は二人倶に裸體にして愧ざりき
Genesis,3,1,ヱホバ神の造りたまひし野の生物の中に蛇最も狡猾し蛇婦に言ひけるは神眞に汝等園の諸の樹の果は食ふべからずと言たまひしや
Genesis,3,2,婦蛇に言けるは我等園の樹の果を食ふことを得
Genesis,3,3,然ど園の中央に在樹の果實をば神汝等之を食ふべからず又之に捫るべからず恐は汝等死んと言給へり
Genesis,3,4,蛇婦に言けるは汝等必らず死る事あらじ
Genesis,3,5,神汝等が之を食ふ日には汝等の目開け汝等神の如くなりて善惡を知に至るを知りたまふなりと
Genesis,3,6,婦樹を見ば食に善く目に美麗しく且智慧からんが爲に慕はしき樹なるによりて遂に其果實を取て食ひ亦之を己と偕なる夫に與へければ彼食へり
Genesis,3,7,是において彼等の目倶に開て彼等其裸體なるを知り乃ち無花果樹の葉を綴て裳を作れり
Genesis,3,8,彼等園の中に日の清涼き時分歩みたまふヱホバ神の聲を聞しかばアダムと其妻即ちヱホバ神の面を避て園の樹の間に身を匿せり
Genesis,3,9,ヱホバ神アダムを召て之に言たまひけるは汝は何處にをるや
Genesis,3,10,彼いひけるは我園の中に汝の聲を聞き裸體なるにより懼れて身を匿せりと
Genesis,3,11,ヱホバ言たまひけるは誰が汝の裸なるを汝に告しや汝は我が汝に食ふなかれと命じたる樹の果を食ひたりしや
Genesis,3,12,アダム言けるは汝が與て我と偕ならしめたまひし婦彼其樹の果實を我にあたへたれば我食へりと
Genesis,3,13,ヱホバ神婦に言たまひけるは汝がなしたる此事は何ぞや婦言けるは蛇我を誘惑して我食へりと
Genesis,3,14,ヱホバ神蛇に言たまひけるは汝是を爲たるに因て汝は諸の家畜と野の諸の獸よりも勝りて詛はる汝は腹行て一生の間塵を食ふべし
Genesis,3,15,又我汝と婦の間および汝の苗裔と婦の苗裔の間に怨恨を置ん彼は汝の頭を碎き汝は彼の踵を碎かん
Genesis,3,16,又婦に言たまひけるは我大に汝の懷姙の劬勞を増すべし汝は苦みて子を產ん又汝は夫をしたひ彼は汝を治めん
Genesis,3,17,又アダムに言たまひけるは汝その妻の言を聽て我が汝に命じて食ふべからずと言たる樹の果を食ひしに縁て土は汝のために詛はる汝は一生のあひだ勞苦て其より食を得ん
Genesis,3,18,土は荊棘と薊とを汝のために生ずべしまた汝は野の草蔬を食ふべし
Genesis,3,19,汝は面に汗して食物を食ひ終に土に歸らん其は其中より汝は取れたればなり汝は塵なれば塵に皈るべきなりと
Genesis,3,20,アダム其妻の名をヱバと名けたり其は彼は群の生物の母なればなり
Genesis,3,21,ヱホバ神アダムと其妻のために皮衣を作りて彼等に衣せたまへり
Genesis,3,22,ヱホバ神曰たまひけるは視よ夫人我等の一の如くなりて善惡を知る然ば恐くは彼其手を舒べ生命の樹の果實をも取りて食ひ限無生んと
Genesis,3,23,ヱホバ神彼をエデンの園よりいだし其取て造られたるところの土を耕さしめたまへり
Genesis,3,24,斯神其人を逐出しエデンの園の東にケルビムと自から旋轉る焔の劍を置て生命の樹の途を保守りたまふ
Genesis,4,1,アダム其妻エバを知る彼孕みてカインを生みて言けるは我ヱホバによりて一個の人を得たりと
Genesis,4,2,彼また其弟アベルを生りアベルは羊を牧ふ者カインは土を耕す者なりき
Genesis,4,3,日を經て後カイン土より出る果を携來りてヱホバに供物となせり
Genesis,4,4,アベルもまた其羊の初生と其肥たる者を携來れりヱホバ、アベルと其供物を眷顧みたまひしかども
Genesis,4,5,カインと其供物をば眷み給はざりしかばカイン甚だ怒り且其面をふせたり
Genesis,4,6,ヱホバ、カインに言たまひけるは汝何ぞ怒るや何ぞ面をふするや
Genesis,4,7,汝若善を行はば擧ることをえざらんや若善を行はずば罪門戸に伏す彼は汝を慕ひ汝は彼を治めん
Genesis,4,8,カイン其弟アベルに語りぬ彼等野にをりける時カイン其弟アベルに起かかりて之を殺せり
Genesis,4,9,ヱホバ、カインに言たまひけるは汝の弟アベルは何處にをるや彼言ふ我しらず我あに我弟の守者ならんやと
Genesis,4,10,ヱホバ言たまひけるは汝何をなしたるや汝の弟の血の聲地より我に叫べり
Genesis,4,11,されば汝は詛れて此地を離るべし此地其口を啓きて汝の弟の血を汝の手より受たればなり
