Book,Chapter,Verse,Text
Genesis,1,1,Iesākumā Dievs radīja debesis un zemi.
Genesis,1,2,"Un zeme bija tumša un tukša, un tumsa bija pār dziļumiem, un Dieva Gars lidinājās pa ūdeņu virsu."
Genesis,1,3,Un Dievs sacīja: Lai top gaisma. Tad tapa gaisma.
Genesis,1,4,Un Dievs redzēja gaismu labu esam. Un Dievs šķīra gaismu no tumsas.
Genesis,1,5,"Un Dievs nosauca gaismu par dienu, un tumsu Viņš nosauca par nakti. Un tapa vakars un tapa rīts, pirmā diena."
Genesis,1,6,Tad Dievs sacīja: Lai top izplatījums ūdeņu starpā un lai tas šķir ūdeni no ūdens.
Genesis,1,7,"Un Dievs darīja izplatījumu, un darīja starpu to ūdeni, kas izplatījuma apakšā, un to ūdeni, kas izplatījuma virsū; un tā notika."
Genesis,1,8,"Un Dievs nosauca izplatījumu par debesi. Un tapa vakars un tapa rīts, otra diena."
Genesis,1,9,"Tad Dievs sacīja: Lai ūdens debess apakšā krājās vienā vietā, ka sausums top redzams; un tā notika."
Genesis,1,10,"Un Dievs nosauca sausumu par zemi, un to ūdeņu krājumu Viņš nosauca par jūru. Un Dievs redzēja to labu esam."
Genesis,1,11,"Un Dievs sacīja: Lai zeme izdod zaļumu un zāli, kas savu sēklu nes, auglīgus kokus, kas augļus nes pēc savas kārtas, kam sava sēkla iekš sevis ir virs zemes; un tā notika."
Genesis,1,12,"Un zeme izdeva zaļumu un zāli, kas savu sēklu nes pēc savas kārtas, un kokus, kas augļus nes, kam sava sēkla iekš sevis pēc savas kārtas. Un Dievs redzēja to labu esam."
Genesis,1,13,"Un tapa vakars un tapa rīts, trešā diena."
Genesis,1,14,"Tad Dievs sacīja: Lai top spīdekļi debess izplatījumā, kas šķir dienu no nakts un kas dod zīmes un laikus un dienas un gadus;"
Genesis,1,15,Un lai tie ir par spīdekļiem debess izplatījumā un spīd virs zemes; un tā notika.
Genesis,1,16,"Un Dievs darīja divus lielus spīdekļus, lielāko spīdekli, dienu valdīt un mazāko spīdekli, naktī valdīt, - un zvaigznes."
Genesis,1,17,"Un Dievs tos lika debess izplatījumā, lai tie spīd uz zemi."
Genesis,1,18,Un valda dienu un nakti un šķir gaismu no tumsas. Un Dievs redzēja to labu esam.
Genesis,1,19,"Un tapa vakars un tapa rīts, ceturtā diena."
Genesis,1,20,"Tad Dievs sacīja: Lai pa pulkiem rodas ūdenī kustošas dzīvas dvašas un putni, kas virs zemes skrien apakš debess izplatījuma."
Genesis,1,21,"Un Dievs radīja lielus jūras zvērus un visādas dzīvas dvašas, kas lien, ko ūdens pa pulkiem izdod pēc viņu kārtām, un visādus spārnainus putnus pēc viņu kārtas. Un Dievs redzēja to labu esam."
Genesis,1,22,"Un Dievs tos svētīja sacīdams: Vaislojaties un vairojaties un piepildiet ūdeni jūrā, un putni lai vairojās virs zemes."
Genesis,1,23,"Un tapa vakars un tapa rīts, piektā diena."
Genesis,1,24,"Tad Dievs sacīja: Lai zeme izdod dzīvas dvašas pēc viņu kārtas, lopus, tārpus un zemes zvērus pēc viņu kārtas; un tā notika."
Genesis,1,25,Un Dievs darīja zemes zvērus pēc viņu kārtas un lopus pēc viņu kārtas un visādus zemes tārpus pēc viņu kārtas. Un Dievs redzēja to labu esam.
Genesis,1,26,"Un Dievs sacīja: Darīsim cilvēkus pēc mūsu ģīmja, pēc mūsu līdzības, lai tie valda pār zivīm jūrā un pār putniem apakš debess un pār lopiem un pār visu zemi un pār visiem tārpiem, kas lien virs zemes."
Genesis,1,27,"Un Dievs radīja cilvēku pēc Sava ģīmja, pēc Dieva ģīmja Viņš to radīja, un radīja tos, vīrieti un sievieti."
Genesis,1,28,"Un Dievs tos svētīja, un Dievs uz tiem sacīja: Augļojaties un vairojaties un piepildiet zemi un pārvaldiet to un valdat pār zivīm jūrā un pār putniem apakš debess un pār visām dvašām, kas lien virs zemes."
Genesis,1,29,"Un Dievs sacīja: Redzi, Es jums esmu devis visādu zāli, kas nes sēklu, kas ir pa visu zemes virsu, un visus kokus, kam savi augļi iekš sevis un kas nes sēklu, jums par ēdamo."
Genesis,1,30,"Un visiem zvēriem virs zemes un visiem putniem apakš debess un visiem tārpiem virs zemes, kam dzīva dvaša, esmu devis visādu zaļu zāli par barību. Un tā notika."
Genesis,1,31,"Un Dievs uzlūkoja visu, ko Viņš bija darījis, un redzi, tas bija ļoti labs. Un tapa vakars un tapa rīts, sestā diena."
Genesis,2,1,Tā ir pabeigtas debesis un zeme un viss viņu spēks.
Genesis,2,2,"Un Dievs pabeidza septītā dienā Savu darbu, ko bija darījis, un dusēja septītā dienā no visa Sava darba, ko bija darījis."
Genesis,2,3,"Un Dievs svētīja to septīto dienu un to iesvētīja, tāpēc ka Viņš bija dusējis no visa Sava darba, ko Dievs bija radījis un taisījis."
Genesis,2,4,"Tā debesis un zeme cēlušās, kad tās tapa radītas tai laikā, kad Dievs Tas Kungs zemi un debesis darīja."
Genesis,2,5,"Un vēl nekādu krūmu nebija laukā virs zemes, un vēl nekāda zāle nezēla, jo Dievs Tas Kungs vēl nebija licis lietum līt virs zemes, un cilvēka nebija, kas zemi būtu kopis."
Genesis,2,6,Bet migla cēlās no zemes un slapināja visu zemi.
Genesis,2,7,Un Dievs Tas Kungs taisīja cilvēku no zemes pīšļiem un iepūta viņa nāsīs dzīvības dvašu; tad cilvēks tapa par dzīvu dvēseli.
Genesis,2,8,"Un Dievs Tas Kungs stādīja dārzu Ēdenē pret rītiem un iecēla tur to cilvēku, ko Viņš bija taisījis."
Genesis,2,9,"Un Dievs Tas Kungs izaudzināja no zemes visādus kokus, kas jauki bija uzlūkot un labi ēst, un dzīvības koku dārza vidū, arī laba un ļauna atzīšanas koku."
Genesis,2,10,"Un tekošs ūdens iztecēja no Ēdenes, to dārzu slapināt, un no turienes tas dalījās un palika par četrām upēm."
Genesis,2,11,"Pirmai ir vārds Pīšone: tā iet ap visu Havilas zemi, kur zelts ir."
Genesis,2,12,Un tās zemes zelts ir labs; tur ir arī bedellions un sardonika(oniksa) akmens.
Genesis,2,13,Un otrai upei ir vārds Ģihone; tā tek ap visu Kuša(Moru) zemi.
Genesis,2,14,"Un trešai upei ir vārds Hideķele; tā tek Assura zemei pret rītiem, un ceturtā upe ir Eifrate."
Genesis,2,15,"Un Dievs Tas Kungs ņēma cilvēku un to ielika Ēdenes dārzā, lai tas to koptu un sargātu."
Genesis,2,16,"Un Dievs Tas Kungs pavēlēja cilvēkam sacīdams: no visiem dārza augļiem tu vari ēst, kā tīk,"
Genesis,2,17,"Bet no tā laba un ļauna atzīšanas koka, no tā tev nebūs ēst, jo kurā dienā tu no tā ēdīsi, tu mirdams mirsi."
Genesis,2,18,"Un Dievs Tas Kungs sacīja: nav labi, cilvēkam būt vienam; Es tam darīšu palīgu, kas ap to būs."
Genesis,2,19,"Un Dievs Tas Kungs no zemes bija taisījis visus zvērus laukā un visus putnus apakš debess; un Viņš tos veda pie cilvēka, lai redzētu, kā tas tos nosauks, un kā cilvēks nosauktu ikvienu dzīvu dvašu, tā lai būtu viņas vārds."
Genesis,2,20,"Tad cilvēks nosauca vārdus visiem lopiem un putniem apakš debess un visiem zvēriem laukā, bet priekš cilvēka neatradās palīgs, kas ap to būtu."
