Book,Chapter,Verse,Text
Genesis,1,1,Tamin’ ny voalohany Andriamanitra nahary ny lanitra sy ny tany.
Genesis,1,2,Ary ny tany dia tsy nisy endrika sady foana; ary aizina no tambonin’ ny lalina. Ary ny fanahin’ Andriamanitra nanomba tambonin’ ny rano.
Genesis,1,3,Ary Andriamanitra nanao hoe: Misia mazava; dia nisy mazava.
Genesis,1,4,Ary hitan’ Andriamanitra fa tsara ny mazava; ary nampisarahin’ Andriamanitra ny mazava sy ny maizina.
Genesis,1,5,"Ary Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina. Dia nisy hariva, ary nisy maraina, andro voalohany izany."
Genesis,1,6,Ary Andriamanitra nanao hoe: Misia habakabaka eo anelanelan’ ny rano; ary aoka hampisaraka ny rano amin’ ny rano izy.
Genesis,1,7,Ary Andriamanitra nanao ny habakabakaka ka nampisaraka ny rano ambanin’ ny habakabaka tamin’ ny rano ambonin’ ny habakabaka; dia nisy izany.
Genesis,1,8,"Ary Andriamanitra nanao ny habakabaka hoe lanitra. Dia nisy hariva, ary nisy maraina, andro faharoa izany."
Genesis,1,9,"Ary Andriamanitra nanao hoe: Aoka hiangona ny rano eny ambanin’ ny lanitra ho eo amin’ ny fitoerana iray, ary aoka hiseho ny maina; dia nisy izany."
Genesis,1,10,Ary Andriamanitra nanao ny maina hoe tany; ary ny rano tafangona nataony hoe ranomasina. Ary hitan’ Andriamanitra fa tsara izany.
Genesis,1,11,"Ary Andriamanitra nanao hoe: Aoka ny tany haniry ahitra sy anana mamoa ary hazo fihinam-boa izay mamoa, samy araka ny karazany avy, ka manam-boa ao aminy, eny ambonin’ ny tany; dia nisy izany."
Genesis,1,12,"Ary ny tany naniry ahitra sy anana mamoa samy araka ny karazany avy, ary hazo mamoa izay manam-boa ao aminy, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany."
Genesis,1,13,"Dia nisy hariva, ary nisy maraina, andro fahatelo izany."
Genesis,1,14,Ary Andriamanitra nanao hoe: Misia fahazavana eny amin’ ny habakabaky ny lanitra hampisaraka ny andro sy ny alina; ary aoka ho famantarana sy ho fotoana ary ho andro sy taona ireo.
Genesis,1,15,Ary aoka ho fanazavana eny amin’ ny habakabaky ny lanitra izy hanazava eny ambonin’ ny tany; dia nisy izany.
Genesis,1,16,"Ary Andriamanitra nanao ny fanazavana roa lehibe, dia ny fanazavana lehibe ho mpanapaka ny andro ary ny fanazavana kely ho mpanapaka ny alina sy ny kintana."
Genesis,1,17,"Ary Andriamanitra nametraka azy teny amin’ ny habakabaky ny lanitra hanazava eny ambonin’ ny tany,"
Genesis,1,18,"sy ho mpanapaka ny andro sy ny alina, ary hampisaraka ny mazava sy ny maizina. Ary hitan’ Andriamanitra fa tsara izany."
Genesis,1,19,"Dia nisy hariva, ary nisy maraina, andro fahefatra izany."
Genesis,1,20,Ary Andriamanitra nanao hoe: Aoka ny rano ho be zava-manan’ aina; ary aoka hisy vorona hanidina ambonin’ ny tany eny amin’ ny habakabaky ny lanitra.
Genesis,1,21,"Ary Andriamanitra nahary ny biby vaventy anaty rano sy ny zava-manan’ aina mihetsiketsika rehetra, izay efa betsaka ao amin’ ny rano, samy araka ny karazany avy, ary ny voro-manidina rehetra, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany."
Genesis,1,22,Ary Andriamanitra nitso-drano azy hoe: Maroa anaka sy mihabetsaha ary mamenoa ny rano ao amin’ ny ranomasina; ary aoka ny vorona hihamaro eny ambonin’ ny tany.
Genesis,1,23,"Dia nisy fa hariva, ary nisy maraina, andro fahadimy izany."
Genesis,1,24,"Ary Andriamanitra nanao hoe: Aoka ny tany hamoaka zava-manan’ aina samy araka ny karazany avy, dia biby fiompy sy biby mandady sy mikisaka ary bibi-dia, samy araka ny karazany avy; dia nisy izany."
Genesis,1,25,"Ary Andriamanitra nanao ny bibi-dia, samy araka ny karazany avy, sy ny biby fiompy, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin’ ny tany, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany."
Genesis,1,26,"Ary Andriamanitra nanao hoe: Andeha Isika hamorona olona tahaka ny endritsika, araka ny tarehintsika; ary aoka izy hanjaka amin’ ny hazandrano ao amin’ ny ranomasina sy ny voro-manidina sy ny biby fiompy sy ny tany rehetra ary ny biby rehetra izay mandady na mikisaka amin’ ny tany."
Genesis,1,27,Ary Andriamanitra nahary ny olona tahaka ny endriny; tahaka ny endrik’ Andriamanitra no namoronany azy; lahy sy vavy no namoronany azy.
Genesis,1,28,"Ary Andriamanitra nitso-drano azy hoe: Maroa fara sy mihabetsaha ary mamenoa ny tany, ka mampanompoa azy; ary manjaka amin’ ny hazandrano ao amin’ ny ranomasina sy ny voro-manidina ary ny biby rehetra izay mihetsiketsika ambonin’ ny tany."
