Book,Chapter,Verse,Text
Genesis,1,1,Na początku Bóg stworzył niebo i ziemię.
Genesis,1,2,"A ziemia była bezkształtna i pusta i ciemność była nad głębią, a Duch Boży unosił się nad wodami."
Genesis,1,3,I Bóg powiedział: Niech stanie się światłość. I stała się światłość.
Genesis,1,4,"Bóg widział, że światłość była dobra. I oddzielił Bóg światłość od ciemności."
Genesis,1,5,"I nazwał Bóg światłość dniem, a ciemność nazwał nocą. I nastał wieczór i poranek, dzień pierwszy."
Genesis,1,6,Potem Bóg powiedział: Niech stanie się firmament pośrodku wód i niech oddzieli wody od wód.
Genesis,1,7,"I uczynił Bóg firmament, i oddzielił wody, które są pod firmamentem, od wód, które są nad firmamentem. I tak się stało."
Genesis,1,8,"I Bóg nazwał firmament niebem. I nastał wieczór i poranek, dzień drugi."
Genesis,1,9,"Potem Bóg powiedział: Niech się zbiorą w jednym miejscu wody, które są pod niebem, i niech się ukaże sucha powierzchnia. I tak się stało."
Genesis,1,10,"I Bóg nazwał suchą powierzchnię ziemią, a zbiorowisko wód – morzami. I Bóg widział, że to było dobre."
Genesis,1,11,"Potem Bóg powiedział: Niech ziemia zrodzi trawę, rośliny wydające nasiona i drzewo urodzajne przynoszące owoc według swego rodzaju, którego nasienie będzie w nim na ziemi. I tak się stało."
Genesis,1,12,"I ziemia wydała trawę, rośliny wydające nasienie według swego rodzaju i drzewo przynoszące owoc, w którym było nasienie według swego rodzaju. I Bóg widział, że to było dobre."
Genesis,1,13,"I nastał wieczór i poranek, dzień trzeci."
Genesis,1,14,"Potem Bóg powiedział: Niech się staną światła na firmamencie nieba, by oddzielały dzień od nocy, i niech stanowią znaki, pory roku, dni i lata."
Genesis,1,15,"I niech będą światłami na firmamencie nieba, aby świeciły nad ziemią. I tak się stało."
Genesis,1,16,"I Bóg uczynił dwa wielkie światła: światło większe, aby rządziło dniem, i światło mniejsze, aby rządziło nocą, oraz gwiazdy."
Genesis,1,17,"I Bóg umieścił je na firmamencie nieba, aby świeciły nad ziemią;"
Genesis,1,18,"I żeby rządziły dniem i nocą, i oddzielały światłość od ciemności. I Bóg widział, że to było dobre."
Genesis,1,19,"I nastał wieczór i poranek, dzień czwarty."
