Book,Chapter,Verse,Text
Genesis,1,1,В начале сотворил Бог небо и землю.
Genesis,1,2,"Земля же была безвидна и пуста, и тьма над бездною, и Дух Божий носился над водою."
Genesis,1,3,И сказал Бог: да будет свет. И стал свет.
Genesis,1,4,"И увидел Бог свет, что он хорош, и отделил Бог свет от тьмы."
Genesis,1,5,"И назвал Бог свет днем, а тьму ночью. И был вечер, и было утро: день один."
Genesis,1,6,"И сказал Бог: да будет твердь посреди воды, и да отделяет она воду от воды. [И стало так.]"
Genesis,1,7,"И создал Бог твердь, и отделил воду, которая под твердью, от воды, которая над твердью. И стало так."
Genesis,1,8,"И назвал Бог твердь небом. [И увидел Бог, что это хорошо.] И был вечер, и было утро: день второй."
Genesis,1,9,"И сказал Бог: да соберется вода, которая под небом, в одно место, и да явится суша. И стало так. [И собралась вода под небом в свои места, и явилась суша.]"
Genesis,1,10,"И назвал Бог сушу землею, а собрание вод назвал морями. И увидел Бог, что это хорошо."
Genesis,1,11,"И сказал Бог: да произрастит земля зелень, траву, сеющую семя [по роду и по подобию ее, и] дерево плодовитое, приносящее по роду своему плод, в котором семя его на земле. И стало так."
Genesis,1,12,"И произвела земля зелень, траву, сеющую семя по роду [и по подобию] ее, и дерево [плодовитое], приносящее плод, в котором семя его по роду его [на земле]. И увидел Бог, что это хорошо."
Genesis,1,13,"И был вечер, и было утро: день третий."
Genesis,1,14,"И сказал Бог: да будут светила на тверди небесной [для освещения земли и] для отделения дня от ночи, и для знамений, и времен, и дней, и годов;"
Genesis,1,15,"и да будут они светильниками на тверди небесной, чтобы светить на землю. И стало так."
Genesis,1,16,"И создал Бог два светила великие: светило большее, для управления днем, и светило меньшее, для управления ночью, и звезды;"
Genesis,1,17,"и поставил их Бог на тверди небесной, чтобы светить на землю,"
Genesis,1,18,"и управлять днем и ночью, и отделять свет от тьмы. И увидел Бог, что это хорошо."
Genesis,1,19,"И был вечер, и было утро: день четвёртый."
Genesis,1,20,"И сказал Бог: да произведет вода пресмыкающихся, душу живую; и птицы да полетят над землею, по тверди небесной. [И стало так.]"
Genesis,1,21,"И сотворил Бог рыб больших и всякую душу животных пресмыкающихся, которых произвела вода, по роду их, и всякую птицу пернатую по роду ее. И увидел Бог, что это хорошо."
Genesis,1,22,"И благословил их Бог, говоря: плодитесь и размножайтесь, и наполняйте воды в морях, и птицы да размножаются на земле."
Genesis,1,23,"И был вечер, и было утро: день пятый."
Genesis,1,24,"И сказал Бог: да произведет земля душу живую по роду ее, скотов, и гадов, и зверей земных по роду их. И стало так."
