Book,Chapter,Verse,Text
Genesis,1,1,V začetku je Bog ustvaril nebo in zemljo.
Genesis,1,2,Zemlja pa je bila brez oblike ter prazna in tema je bila na obličju globin in Božji Duh se je premikal na obličju vodá.
Genesis,1,3,[1. dan] Bog je rekel: »Naj bo svetloba.« In bila je svetloba.
Genesis,1,4,"Bog je videl svetlobo, da je bila dobra in Bog je ločil svetlobo od teme."
Genesis,1,5,"Bog je svetlobo imenoval Dan, temo pa je imenoval Noč. In večer in jutro sta bila prvi dan."
Genesis,1,6,[2. dan] Bog je rekel: »Naj bo nebesni svod na sredi vodá in naj razdeli vode od vodá.«
Genesis,1,7,"Bog je naredil nebesni svod in razdelil vode, ki so bile pod nebesnim svodom od vodá, ki so bile nad nebesnim svodom. In bilo je tako."
Genesis,1,8,Bog je nebesni svod imenoval Nebo. In večer in jutro sta bila drugi dan.
Genesis,1,9,[3. dan] Bog je rekel: »Naj bodo vode pod nebom zbrane skupaj na en kraj in naj se pojavi kopna zemlja.« In bilo je tako.
Genesis,1,10,"Bog je kopno zemljo imenoval Zemlja, zbiranje skupnih vodá pa je imenoval Morja, in Bog je videl, da je bilo to dobro."
Genesis,1,11,"Bog je rekel: »Naj zemlja rodi travo, zelišče, ki obrodi seme in sadno drevo, ki obrodi sad po svoji vrsti, čigar seme je v njem samem na zemlji.« In bilo je tako."
Genesis,1,12,"§ Zemlja je rodila travo in zelišče, ki obrodi seme po svoji vrsti in drevo, ki obrodi sad po svoji vrsti, čigar seme je v njem samem, po njegovi vrsti. In Bog je videl, da je bilo to dobro."
Genesis,1,13,In večer in jutro sta bila tretji dan.
Genesis,1,14,"[4. dan] Bog je rekel: »Naj bodo svetilke na nebesnem svodu neba, da razdelijo dan od noči; in naj bodo za znamenja, za letne dobe, za dneve in leta,"
Genesis,1,15,"in naj bodo za svetilke na nebesnem svodu neba, da na zemljo dajejo svetlobo.« In bilo je tako."
Genesis,1,16,"Bog je naredil dve veliki luči: svetlejšo luč, da vlada dnevu in šibkejšo luč, da vlada noči; naredil je tudi zvezde."
