Book,Chapter,Verse,Text
Genesis,1,1,У почетку створи Бог небо и земљу.
Genesis,1,2,"А земља бјеше без обличја и пуста, и бјеше тама над безданом; и дух Божји дизаше се над водом."
Genesis,1,3,И рече Бог: нека буде свјетлост. И би свјетлост.
Genesis,1,4,И видје Бог свјетлост да је добра; и растави Бог свјетлост од таме.
Genesis,1,5,"И свјетлост назва Бог дан, а таму назва ноћ. И би вече и би јутро, дан први."
Genesis,1,6,"Потом рече Бог: нека буде свод посред воде, да раставља воду од воде."
Genesis,1,7,"И створи Бог свод, и растави воду под сводом од воде над сводом; и би тако."
Genesis,1,8,"А свод назва Бог небо. И би вече и би јутро, дан други."
Genesis,1,9,"Потом рече Бог: нека се сабере вода што је под небом на једно мјесто, и нека се покаже сухо. И би тако."
Genesis,1,10,"И сухо назва Бог земља, а зборишта водена назва мора; и видје Бог да је добро."
Genesis,1,11,"Опет рече Бог: нека пусти земља из себе траву, биље, што носи сјеме, и дрво родно, које рађа род по својим врстама, у којем ће бити сјеме његово на земљи. И би тако."
Genesis,1,12,"И пусти земља из себе траву, биље, што носи сјеме по својим врстама, и дрво, које рађа род, у којем је сјеме његово по његовијем врстама. И видје Бог да је добро."
Genesis,1,13,"И би вече и би јутро, дан трећи."
Genesis,1,14,"Потом рече Бог: нека буду видјела на своду небеском, да дијеле дан и ноћ, да буду знаци временима и данима и годинама;"
Genesis,1,15,"И нека свијетле на своду небеском, да обасјавају земљу. И би тако."
Genesis,1,16,"И створи Бог два видјела велика: видјело веће да управља даном, и видјело мање да управља ноћу, и звијезде."
Genesis,1,17,И постави их Бог на своду небеском да обасјавају земљу.
Genesis,1,18,"И да управљају даном и ноћу, и да дијеле свјетлост од таме. И видје Бог да је добро."
Genesis,1,19,"И би вече и би јутро, дан четврти."
Genesis,1,20,"Потом рече Бог: нека врве по води живе душе, и птице нека лете изнад земље под свод небески."
Genesis,1,21,"И створи Бог китове велике и све живе душе што се мичу, што проврвјеше по води по врстама својим, и све птице крилате по врстама њиховијем. И видје Бог да је добро;"
Genesis,1,22,"И благослови их Бог говорећи: рађајте се и множите се, и напуните воду по морима, и птице нека се множе на земљи."
Genesis,1,23,"И би вече и би јутро, дан пети."
Genesis,1,24,"Потом рече Бог: нека земља пусти из себе душе живе по врстама њиховијем, стоку и ситне животиње и звијери земаљске по врстама њиховијем. И би тако."
Genesis,1,25,"И створи Бог звијери земаљске по врстама њиховијем, и стоку по врстама њезинијем, и све ситне животиње на земљи по врстама њиховијем. И видје Бог да је добро."
Genesis,1,26,"Потом рече Бог: да начинимо човјека по својему обличју, као што смо ми, који ће бити господар од риба морских и од птица небеских и од стоке и од цијеле земље и од свијех животиња што се мичу по земљи."
Genesis,1,27,"И створи Бог човјека по обличју својему, по обличју Божијему створи га; мушко и женско створи их."
Genesis,1,28,"И благослови их Бог, и рече им Бог: рађајте се и множите се, и напуните земљу, и владајте њом, и будите господари од риба морских и од птица небеских и од свега звјериња што се миче по земљи."
Genesis,1,29,"И још рече Бог: ево, дао сам вам све биље што носи сјеме по свој земљи, и сва дрвета родна која носе сјеме; то ће вам бити за храну."
Genesis,1,30,"А свему звјерињу земаљском и свјема птицама небеским и свему што се миче на земљи и у чем има душа жива, дао сам сву траву да једу. И би тако."
Genesis,1,31,"Тада погледа Бог све што је створио, и гле, добро бјеше веома. И би вече и би јутро, дан шести."
Genesis,2,1,Тако се доврши небо и земља и сва војска њихова.
Genesis,2,2,"И сврши Бог до седмога дана дјела своја, која учини; и почину у седми дан од свијех дјела својих, која учини;"
Genesis,2,3,"И благослови Бог седми дан, и посвети га, јер у тај дан почину од свијех дјела својих, која учини;"
Genesis,2,4,"То је постање неба и земље, кад посташе, кад Господ Бог створи земљу и небо,"
Genesis,2,5,"И сваку биљку пољску, докле је још не бјеше на земљи, и сваку травку пољску, докле још не ницаше; јер Господ Бог још не пусти дажда на земљу, нити бјеше човјека да ради земљу,"
Genesis,2,6,Али се подизаше пара са земље да натапа сву земљу.
Genesis,2,7,"А створи Господ Бог човјека од праха земаљскога, и дуну му у нос дух животни; и поста човјек душа жива."
Genesis,2,8,"И насади Господ Бог врт у Едему на истоку; и ондје намјести човјека, којега створи."
Genesis,2,9,"И учини Господ Бог, те никоше из земље свакојака дрвета лијепа за гледање и добра за јело, и дрво од живота усред врта и дрво од знања добра и зла."
Genesis,2,10,"А вода тецијаше из Едема натапајући врт, и оданде се дијељаше у четири ријеке."
Genesis,2,11,"Једној је име Фисон, она тече око цијеле земље Евилске, а ондје има злата,"
Genesis,2,12,И злато је оне земље врло добро; ондје има и бдела и драгога камена ониха.
Genesis,2,13,"А другој је ријеци име Геон, она тече око цијеле земље Хуске."
Genesis,2,14,"А трећој је ријеци име Хидекел, она тече к Асирској. А четврта је ријека Ефрат."
Genesis,2,15,"И узевши Господ Бог човјека намјести га у врту Едемском, да га ради и да га чува."
Genesis,2,16,И запријети Господ Бог човјеку говорећи: једи слободно са свакога дрвета у врту;
Genesis,2,17,"Али с дрвета од знања добра и зла, с њега не једи; јер у који дан окусиш с њега, умријећеш."
Genesis,2,18,И рече Господ Бог: није добро да је човјек сам; да му начиним друга према њему.
Genesis,2,19,"Јер Господ Бог створи од земље све звијери пољске и све птице небеске, и доведе к Адаму да види како ће коју назвати, па како Адам назове коју животињу онако да јој буде име;"
Genesis,2,20,И Адам надједе име сваком живинчету и свакој птици небеској и свакој звијери пољској; али се не нађе Адаму друг према њему.
Genesis,2,21,"И Господ Бог пусти тврд сан на Адама, те заспа; па му узе једно ребро, и мјесто попуни месом;"
Genesis,2,22,"И Господ Бог створи жену од ребра, које узе Адаму, и доведе је к Адаму."
Genesis,2,23,"А Адам рече: сада ето кост од мојих кости, и тијело од мојега тијела. Нека јој буде име човјечица, јер је узета од човјека."
Genesis,2,24,"За то ће оставити човјек оца својега и матер своју, и прилијепиће се к жени својој, и биће двоје једно тијело."
Genesis,2,25,"А бјеху обоје голи, Адам и жена му, и не бјеше их срамота."
Genesis,3,1,"Али змија бјеше лукава мимо све звијери пољске, које створи Господ Бог; па рече жени: је ли истина да је Бог казао да не једете са свакога дрвета у врту?"
Genesis,3,2,А жена рече змији: ми једемо рода са свакога дрвета у врту;
Genesis,3,3,"Само рода с онога дрвета усред врта, казао је Бог, не једите и не дирајте у њ, да не умрете."
Genesis,3,4,А змија рече жени: нећете ви умријети;
Genesis,3,5,"Него зна Бог да ће вам се у онај дан кад окусите с њега отворити очи, па ћете постати као богови и знати што је добро што ли зло."
Genesis,3,6,"И жена видећи да је род на дрвету добар за јело и да га је милина гледати и да је дрво врло драго ради знања, узабра рода с њега и окуси, па даде и мужу својему, те и он окуси."
Genesis,3,7,"Тада им се отворише очи, и видјеше да су голи; па сплетоше лишћа смокова и начинише себи прегаче."
Genesis,3,8,"И зачуше глас Господа Бога, који иђаше по врту кад захлади; и сакри се Адам и жена му испред Господа Бога међу дрвета у врту."
Genesis,3,9,А Господ Бог викну Адама и рече му: гдје си?
Genesis,3,10,"А он рече: чух глас твој у врту, па се поплаших, јер сам го, те се сакрих."
Genesis,3,11,А Бог рече: ко ти каза да си го? да нијеси јео с онога дрвета што сам ти забранио да не једеш с њега?
